,state,fertility,population,territory,density,GDP,GDPcap,GDPgrowth,GDPcapgrowth,literacy,education
60,Egypt,2.71,105914499.0,995450.0,117.0,347342.0,3174.0,2.4,2.2,71.2,0.618
61,Micronesia,2.71,105754.0,700.0,162.0,500.0,5291.0,1.1,-0.1,99.0,
62,Eswatini,2.68,1235549.0,17200.0,72.0,5483.0,4613.0,4.6,4.0,88.4,0.557
63,Algeria,2.67,47400000.0,2381741.0,20.0,268885.0,5691.0,3.8,2.5,81.4,0.672
64,Botswana,2.66,2410338.0,566730.0,4.4,19400.0,7021.0,1.0,1.0,88.5,0.676
65,Syria,2.66,24672760.0,185178.0,133.0,,,,-1.3,86.4,0.416
66,Lesotho,2.64,2306000.0,30360.0,77.0,2404.0,1098.0,2.8,-0.2,79.4,0.532
67,Turkmenistan,2.63,7057841.0,469930.0,16.0,89054.0,13338.0,2.3,4.7,99.7,0.653
68,Haiti,2.59,11867032.0,27560.0,427.0,33548.0,2672.0,-4.0,-3.0,61.7,0.456
69,Mongolia,2.59,3504741.0,1557507.0,2.2,25804.0,7201.0,5.5,5.5,99.2,0.736
70,Djibouti,2.58,1066809.0,23180.0,50.0,4587.0,4343.0,6.5,5.2,,0.325
71,Jordan,2.57,11734000.0,88794.0,130.0,56102.0,4903.0,2.4,2.2,98.2,0.667
72,Timor-Leste,2.56,1373024.0,14870.0,94.0,2115.0,1491.0,,,,0.51
73,Cambodia,2.51,17336307.0,176520.0,100.0,49799.0,2870.0,5.5,4.3,80.5,0.484
74,Bolivia,2.5,11312620.0,1083300.0,11.0,56339.0,4525.0,1.6,1.1,92.5,0.695
75,Oman,2.48,5274249.0,309500.0,17.0,104351.0,18966.0,1.0,-0.2,95.7,0.718
76,Niue,2.46,,260.0,7.0,,,,,,
77,Honduras,2.45,9892632.0,111890.0,97.0,38172.0,3519.0,3.6,2.0,88.5,0.499
78,Paraguay,2.4,6109644.0,396012.0,17.0,45465.0,6522.0,3.8,3.5,94.5,0.638
79,Guyana,2.37,772975.0,196850.0,4.2,25822.0,32326.0,43.8,32.2,88.5,0.601
80,Laos,2.36,7546000.0,230800.0,34.0,16322.0,2096.0,4.1,2.3,84.7,0.481
81,Saudi Arabia,2.29,32175224.0,2149690.0,16.0,1083749.0,30099.0,1.4,-2.2,97.6,0.789
82,Guatemala,2.26,17843132.0,107160.0,172.0,121177.0,6698.0,3.5,2.0,80.8,0.519
83,Libya,2.25,7381023.0,1759540.0,4.2,47484.0,6801.0,2.4,-2.8,91.0,0.61
84,Fiji,2.25,900869.0,18270.0,51.0,6257.0,6740.0,3.0,7.3,99.1,0.764
85,Suriname,2.21,616500.0,160508.0,4.0,4506.0,6858.0,3.0,1.2,94.4,0.675
86,Lebanon,2.21,5490000.0,10230.0,568.0,,5282.0,,2.4,95.1,0.604
87,Dominican Republic,2.2,10771504.0,48198.0,237.0,127828.0,11743.0,5.1,1.4,93.8,0.666
88,South Africa,2.19,63015904.0,1213090.0,53.0,410338.0,6397.0,0.8,-0.3,95.0,0.724
89,Morocco,2.18,36828330.0,710850.0,53.0,165835.0,4397.0,2.8,0.2,73.8,0.569
90,Nicaragua,2.18,6803886.0,120340.0,57.0,21155.0,3019.0,4.0,3.1,82.6,0.573
91,Western Sahara,2.15,590506.0,266000.0,2.2,,,,,,
92,Bangladesh,2.11,169828911.0,130170.0,1333.0,467218.0,2689.0,5.4,4.7,74.66,0.529
93,Indonesia,2.1,282477584.0,1892555.0,150.0,1429743.0,5027.0,5.0,4.3,96.0,0.65
94,Monaco,2.09,38367.0,2.0,19000.0,,,,11.8,99.0,
95,Panama,2.09,4064780.0,74180.0,61.0,91675.0,20080.0,2.5,5.9,95.7,0.7
96,Seychelles,2.08,122038.0,460.0,284.0,2198.0,21633.0,3.1,3.3,95.9,0.726
97,Myanmar,2.08,51316756.0,652670.0,84.0,64944.0,1178.0,1.0,0.3,89.1,0.464
98,Venezuela,2.06,28405543.0,882050.0,32.0,108511.0,4068.0,3.0,-5.0,97.1,0.7
99,Belize,2.01,410919.0,22810.0,18.0,3611.0,8648.0,5.4,3.1,83.0,0.695
100,Cook Islands,2.0,,240.0,57.0,,,,,,
101,India,1.94,1413324000.0,2973190.0,488.0,4187017.0,2878.0,6.5,6.7,74.4,0.555
102,Peru,1.94,34038457.0,1280000.0,27.0,303293.0,8814.0,3.0,-1.4,94.5,0.74
103,Sri Lanka,1.94,21763170.0,61860.0,373.0,,4325.0,,-1.7,92.3,0.746
104,Nepal,1.94,29164578.0,143350.0,207.0,46080.0,1458.0,3.1,0.8,67.9,0.521
105,Vietnam,1.88,101343800.0,313429.0,322.0,490970.0,4806.0,6.1,4.3,95.8,0.63
106,Philippines,1.88,114123600.0,298170.0,389.0,497495.0,4350.0,5.8,3.9,96.3,0.678
107,Mexico,1.87,130294079.0,1943950.0,67.0,1692640.0,12692.0,1.8,2.5,95.2,0.703
108,Palau,1.86,16733.0,460.0,38.0,333.0,18993.0,8.1,0.4,96.6,0.855
109,Tunisia,1.8,11887412.0,155360.0,79.0,56291.0,4528.0,1.6,-0.4,81.8,0.661
110,Montenegro,1.8,623633.0,13450.0,47.0,8562.0,13508.0,3.7,6.2,98.8,0.803
111,Ecuador,1.79,16938986.0,248360.0,73.0,125677.0,6942.0,0.3,1.3,93.6,0.702
112,Georgia,1.79,3694600.0,69490.0,55.0,35353.0,9571.0,7.6,6.1,99.6,0.862
113,Bahrain,1.78,1588670.0,790.0,2034.0,47829.0,28857.0,3.0,1.6,97.5,0.769
114,North Korea,1.77,25950000.0,120410.0,220.0,,,,,100.0,
115,El Salvador,1.75,6029976.0,20720.0,306.0,36749.0,5722.0,3.0,3.0,89.1,0.555
116,Saint Vincent and the Grenadines,1.75,110872.0,390.0,258.0,1242.0,11162.0,4.5,,96.0,0.684
117,Bulgaria,1.74,6445481.0,108560.0,62.0,117007.0,18522.0,2.3,2.4,98.4,0.779
118,Moldova,1.72,2423300.0,32890.0,92.0,19462.0,8260.0,2.6,2.9,99.4,0.711
119,Armenia,1.71,3075800.0,28470.0,104.0,26258.0,8857.0,6.0,8.8,99.8,0.74
